material,week,supply_qty
RM_CHIP_X,2026-W38,120
RM_CHIP_X,2026-W39,140
RM_CHIP_X,2026-W40,100
RM_CHIP_X,2026-W41,90
RM_CAP_Y,2026-W38,300
RM_CAP_Y,2026-W39,350
RM_CAP_Y,2026-W40,300
RM_CAP_Y,2026-W41,250
RM_CONNECTOR_Z,2026-W38,90
RM_CONNECTOR_Z,2026-W39,100
RM_CONNECTOR_Z,2026-W40,90
RM_CONNECTOR_Z,2026-W41,80
RM_HOUSING_A,2026-W38,80
RM_HOUSING_A,2026-W39,90
RM_HOUSING_A,2026-W40,90
RM_HOUSING_A,2026-W41,80
RM_HOUSING_B,2026-W38,40
RM_HOUSING_B,2026-W39,45
RM_HOUSING_B,2026-W40,50
RM_HOUSING_B,2026-W41,45
